Style,Albums Rated,Average Rating
Indie Rock,31,4.53
Alternative Rock,31,4.39
Experimental,18,4.58
Psychedelic Rock,13,4.42
Pop Rock,11,4.36
Art Rock,10,4.80
Synth-pop,7,4.43
IDM,7,4.43
Beat,7,4.07
Rock & Roll,7,4.00
Contemporary R&B,6,4.17
Lo-Fi,5,4.60
Prog Rock,5,4.40
Indie Pop,4,5.00
Acoustic,4,4.63
Ambient,4,4.38
Soundtrack,4,4.38
Downtempo,4,4.25
Vocal,4,3.88
Jangle Pop,3,4.83
Punk,3,4.67
Conscious,3,4.50
Disco,3,4.50
Post Rock,2,4.75
Avantgarde,2,4.75
Electro,2,4.75
Jazzy Hip-Hop,2,4.75
Trip Hop,2,4.75
Funk,2,4.75
Soul,2,4.50
Grunge,2,4.50
Emo,2,4.50
House,2,4.25
Surf,2,4.25
Dream Pop,2,4.25
Ballad,2,4.25
Folk Rock,2,4.25
Psychedelic,1,5.00
Post-Hardcore,1,5.00
Country Rock,1,5.00
Glam,1,5.00
Hardcore Hip-Hop,1,5.00
Sludge Metal,1,5.00
Garage Rock,1,5.00
Pop Rap,1,5.00
French House,1,5.00
Post-Punk,1,5.00
Leftfield,1,5.00
Afrobeat,1,5.00
Boom Bap,1,5.00
Drone,1,5.00
Funk Metal,1,5.00
Abstract,1,5.00
Ethereal,1,5.00
Neo Soul,1,5.00
Pop Punk,1,5.00
Ska,1,5.00
Techno,1,5.00
Bolero,1,5.00
Danzon,1,5.00
Norteño,1,5.00
Post Bop,1,4.50
New Wave,1,4.50
Black Metal,1,4.50
Math Rock,1,4.50
Gangsta,1,4.50
Soft Rock,1,4.50
Classic Rock,1,4.50
Goth Rock,1,4.50
Nu Metal,1,4.00
Britpop,1,4.00
Chanson,1,4.00
Shoegaze,1,4.00
J-pop,1,3.50
