Artist,Popularity
Lana Del Rey,89
Exuma,28
Beastie Boys,68
Grimes,68
LCD Soundsystem,58
A Tribe Called Quest,67
Café Tacvba,67
DANGERDOOM,52
Alcest,44
Kraftwerk,53
Shakira,89
The Strokes,76
J Dilla,59
GAS,30
Pink Floyd,77
Various Artists,0
Mos Def,63
David Bowie,75
Delinquent Habits,50
M.I.A.,66
Compton's Most Wanted,45
Jeff Rosenstock,49
Nine Inch Nails,64
Carla Morrison,71
The Paper Chase,28
Prefuse 73,35
Muse,73
Lorde,74
Brand New,57
The Flaming Lips,55
Life Without Buildings,35
Melt-Banana,31
Julio Revueltas,12
Kate Bush,67
"""Weird Al"" Yankovic",56
Charizma,32
Mastodon,57
Outkast,73
Atmosphere,58
Parts & Labor,6
Tom Zé,45
Caifanes,69
Justice,58
Lady Gaga,83
Clap Your Hands Say Yeah,40
Neurosis,30
Tori Amos,54
Frederic Rzewski,19
Les Rallizes Dénudés,29
The Stone Roses,61
The Velvet Underground,63
Air,58
Panda Bear,51
Jaguares,55
Melody's Echo Chamber,47
The Cardigans,66
Explosions In The Sky,50
Pearl Jam,73
Charles Mingus,45
The Weeknd,94
Modest Mouse,63
2Pac,80
Nas,72
The Doors,71
Britney Spears,78
Madvillain,63
Elliott Smith,62
Sophie Ellis-Bextor,57
The Verve,64
deadmau5,66
Rage Against The Machine,69
Lootpack,36
Oasis,75
Deltron 3030,42
Frank Ocean,83
John Coltrane,62
Sunny Day Real Estate,45
Juan Gabriel,74
Ms. Lauryn Hill,71
Neutral Milk Hotel,56
Brigitte Fontaine,34
Smif-N-Wessun,41
MF DOOM,74
t.A.T.u.,60
Wilco,57
Manic Street Preachers,54
Boards of Canada,55
Talking Heads,67
Metallica,80
TOOL,68
Raekwon,69
Kendrick Lamar,89
Justin Timberlake,79
Maybeshewill,38
Le Volume Courbe,16
Wu-Tang Clan,66
Pulp,60
Gorillaz,77
Jimmy Eat World,66
Travis,57
She & Him,43
CHVRCHES,62
mewithoutYou,41
Boris,40
Descartes A Kant,24
Michael Jackson,80
my bloody valentine,55
Meshuggah,53
Mark Ronson,72
Morrissey,58
The Field Mice,27
Arcade Fire,63
Ice Cube,73
JAY-Z,82
The Beach Boys,71
Róisín Murphy,57
Tamaryn,36
Yeah Yeah Yeahs,63
Interpol,62
The Beatles,82
my little airport,50
The Smiths,75
Regina Spektor,59
The Pains Of Being Pure At Heart,34
The Smashing Pumpkins,70
Lou Reed,60
Joy Division,62
Strapping Young Lad,38
Moloko,54
Thom Yorke,55
N.W.A.,63
The White Stripes,70
Coldplay,86
アトラスサウンドチーム,60
Belle and Sebastian,55
Slint,41
The Prodigy,63
R.E.M.,72
Animal Collective,48
Iron & Wine,61
Sufjan Stevens,71
SNK SOUND TEAM,40
Cabezas de Cera,7
Camp Lo,43
Queens of the Stone Age,70
Plastilina Mosh,52
maudlin of the Well,23
The Jesus and Mary Chain,50
Godspeed You! Black Emperor,40
Daft Punk,79
Nick Cave & The Bad Seeds,60
"Tyler, The Creator",88
Sigh,26
Sleater-Kinney,44
The Replacements,51
John Lennon,67
Jane Birkin,46
Radiohead,78
Ol' Dirty Bastard,64
U2,75
James Blake,71
Metronomy,62
Beach House,70
Prince,69
J-Live,44
Vampire Weekend,64
Nick Drake,59
DJ Shadow,61
Fela Kuti,48
At the Drive-In,43
System Of A Down,77
Camera Obscura,43
Yo La Tengo,52
Tame Impala,80
Kanye West,90
LOOΠΔ / ODD EYE CIRCLE,43
Leonard Cohen,64
The Notorious B.I.G.,76
Gravediggaz,38
Atheist,29
Inon Zur,48
Azul Violeta,35
Sonic Youth,58
Cocteau Twins,63
of Montreal,51
Soundgarden,66
KT Tunstall,59
Melvins,48
Girl Talk,47
Ulver,39
Feist,59
Spiritualized,42
Ghostface Killah,64
Yndi Halda,16
Massive Attack,62
Kristeen Young,8
Cat Power,54
Autopsy,30
Zoé,71
Jamiroquai,65
Eric B. & Rakim,52
Katy Perry,82
Aphex Twin,63
Aqua,76
Portishead,59
Public Enemy,54
SQUARE ENIX MUSIC,47
Disclosure,71
GZA,63
Mobb Deep,65
Lykke Li,66
Nirvana,80
Beirut,55
Windham Hell,1
The Magnetic Fields,50
Placebo,63
Carly Rae Jepsen,72
Madonna,79
Sigur Rós,55
Autechre,41
Maldita Vecindad Y Los Hijos Del 5to. Patio,57
Northern Portrait,6
Pixies,69
Slowdive,63
Paramore,77
The Mars Volta,49
Depeche Mode,73
Jimi Hendrix,68
Black Milk,39
The Roots,58
Soda Stereo,73
The Cure,74
The Ronettes,57
Aperture Science Psychoacoustic Laboratories,44
Eminem,88
Vic Chesnutt,28
My Chemical Romance,75
George Harrison,67
Snoop Dogg,83
Darkthrone,43
Burzum,46
Hikaru Utada,66
Arctic Monkeys,86
King Crimson,53
Blur,69
Gilberto Gil,63
Ximena Sariñana,62
Auktyon,35
The Cranberries,72
Rodrigo y Gabriela,48
Björk,61
Tom Waits,58
